state,county,DemRepRatio
wisconsin,jefferson,0.486252586841484
virginia,rockbridge,0.335633316904879
virginia,botetourt,0.274051637097937
virginia,alleghany,0.264187035069075
virginia,pittsylvania,0.298677139313766
virginia,halifax,0.531034798325288
virginia,mecklenburg,0.671291815126608
north carolina,granville,0.466647443291042
virginia,nottoway,0.424549871391826
north carolina,person,0.39101113215391
virginia,giles,0.24663109342498
north carolina,currituck,0.264635377239465
north carolina,bertie,0.608753587535875
north carolina,chowan,0.420704845814978
north carolina,washington,0.330211272748381
north carolina,beaufort,0.369505178365938
north carolina,greene,0.351351665939182
north carolina,wilson,0.380989502591133
north carolina,martin,0.387352494027366
louisiana,bossier,0.291461962185499
minnesota,houston,0.374481243388396
georgia,murray,0.164564793223243
north carolina,orange,0.626646682863217
,dawson,0.167346146379345
illinois,fayette,0.371022299171195
kentucky,henderson,0.368624037333914
illinois,shelby,0.544681903348836
oklahoma,washington,0.330211272748381
indiana,sullivan,0.236175682327846
illinois,effingham,0.229638554216868
illinois,de witt,0.280071583791384
,mercer,0.218127381600436
virginia,floyd,0.298093725178713
virginia,grayson,0.190352182539682
north carolina,yadkin,0.19105402112104
michigan,bay,0.279290379561884
north carolina,davie,0.269155206286836
north carolina,stokes,0.207881075979234
,fayette,0.371022299171195
north carolina,alleghany,0.264187035069075
virginia,tazewell,0.321125727643581
michigan,huron,0.29043608459667
north carolina,ashe,0.266666666666668
north carolina,rowan,0.31920564555109
north carolina,montgomery,0.661548508508044
north carolina,watauga,0.542298799607259
north carolina,burke,0.330440073733379
tennessee,carter,0.205592440687952
virginia,washington,0.330211272748381
virginia,russell,0.396022594921966
north carolina,carteret,0.28710144583462
,logan,0.242386650731456
ohio,fayette,0.371022299171195
,boone,0.330716317055978
virginia,carroll,0.322907432602193
virginia,charlotte,0.366549388399316
virginia,wise,0.188759407623209
kentucky,floyd,0.298093725178713
tennessee,claiborne,0.255503185373181
tennessee,sevier,0.188695408930382
north carolina,transylvania,0.420517928286853
kentucky,johnson,0.215688715953307
tennessee,unicoi,0.196615534453372
tennessee,jefferson,0.486252586841484
tennessee,hawkins,0.166734727213329
north carolina,yancey,0.329168154230632
kentucky,madison,0.414480266994313
kentucky,rowan,0.31920564555109
,wayne,0.333849362957795
kentucky,powell,0.242034116511104
tennessee,greene,0.351351665939182
tennessee,roane,0.239108930479167
north carolina,jackson,0.299306103227782
tennessee,loudon,0.242420013258436
tennessee,morgan,0.254801816393247
tennessee,monroe,0.355735505445035
kentucky,adair,0.198938611589215
michigan,crawford,0.260331371073636
,roane,0.239108930479167
virginia,rappahannock,0.427057864710676
